cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"613,77,759,132 ",Admin,Advanced,Languages,,,,,,Settings,Site Settings,Language,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,134,317,189 ",Admin,Advanced,Lists,,,,,,(deprecated),,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,134,464,189 ",Admin,Advanced,Search Admin,,General,,,,Settings,Site Settings,Search,Basic Settings,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,134,464,189 ",Admin,Advanced,Search Admin,,Synonyms,,,,Settings,Site Settings,Search,Synonyms,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,134,464,189 ",Admin,Advanced,Search Admin,,Ignore Words,,,,Settings,Site Settings,Search,Ignore Words,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,134,464,189 ",Admin,Advanced,Search Admin,,Advanced Crawlers,,,,Settings,Site Settings,Search,Crawling,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"465,134,611,189 ",Admin,Advanced,Search Engine Site Map,,,,,,Settings,SEO,Sitemap Settings,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"613,134,759,189 ",Admin,Advanced,SharePoint Connector,,,,,,Settings,Connectors,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,191,317,246 ",Admin,Advanced,Site Wizard,,,,,,(deprecated),,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"319,134,464,246 ",Admin,Advanced,Taxonomy,,,,,,Settings,Vocabularies,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"465,134,611,246 ",Admin,Advanced,Themes,,,,,,Manage,Themes,,,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"613,134,759,246 ",Admin,Advanced,User Switcher,,,,,,Manage,Users,(ellipses for the target account),Login As User,,,
div-menuAdminAdvanced,scr-menuAdminAdvanced.png,"171,247,317,303 ",Admin,Advanced,Workflow Management,,,,,,Settings,Workflow,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
